season,date,temperature,humidity,clouds,wind_speed,weather in brief,weather expanded,weather,circuitName,lat,long,location,country
2017,2017-03-26,77,62,0,5.7,Clear,Clear Sky,partly cloudy 24°c  (75°f) air temperature 33.5°c  (92.5°f) track temperature 2m/s  (4.5mph  7.2km/h) wind from the northwest sunny dry 23°c,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia
2017,2017-04-09,55,93,100,6.0,Mist,Mist,"light rain at start, drying later . 12°c",Shanghai International Circuit,31.3389,121.22,Shanghai,China
2017,2017-04-16,76,75,0,10.62,Clear,Clear Sky,None 31°c dry,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain
2017,2017-04-30,68,41,20,4.0,Clouds,Few Clouds,None sunny clear sky 26°c,Sochi Autodrom,43.4057,39.9578,Sochi,Russia
2017,2017-05-14,76,44,20,5.7,Clouds,Few Clouds,None sunny clear sky 24°c,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain
2017,2017-05-28,72,69,20,3.1,Clouds,Few Clouds,None sunny clear sky 26°c,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco
2017,2017-06-11,83,49,100,9.8,Clouds,Overcast Clouds,sunny  and hot with temperatures reaching up to 29°c  (84°f)  wind speeds reaching 12.9 kilometres per hour  (8.0mph) sunny clear sky 29°c,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada
2017,2017-06-25,79,54,20,5.7,Clouds,Few Clouds,sunny  sunny clear sky 26°c,Baku City Circuit,40.3725,49.8533,Baku,Azerbaijan
2017,2017-07-09,81,40,40,5.14,Clouds,Scattered Clouds,partly cloudy  sunny clear sky 22°c,Red Bull Ring,47.2197,14.7647,Spielburg,Austria
2017,2017-07-16,70,80,92,5.11,Clouds,Overcast Clouds,overcast sunny clear sky 23°c,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK
2017,2017-07-30,85,37,0,3.1,Clear,Clear Sky,sunny  sunny clear sky 27°c,Hungaroring,47.5789,19.2486,Budapest,Hungary
2017,2017-08-27,72,64,40,2.06,Clouds,Scattered Clouds,partially cloudy  and dry  23°c dry sunny,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium
2017,2017-09-03,73,34,0,1.03,Clear,Clear Sky,sunny  25°c dry sunny,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy
2017,2017-09-17,82,85,40,4.12,Thunderstorm,Thunderstorm With Rain,"wet at start, then drying air temperature   28°c  (82°f) 28°c wet  raining",Marina Bay Street Circuit,1.2914,103.864,Marina Bay,Singapore
2017,2017-10-01,87,66,75,3.1,Clouds,Broken Clouds,cloudy  31°c dry  cloudy,Sepang International Circuit,2.76083,101.738,Kuala Lumpur,Malaysia
2017,2017-10-08,79,60,43,1.5,Clouds,Scattered Clouds,sunny  26°c dry  sunny,Suzuka Circuit,34.8431,136.541,Suzuka,Japan
2017,2017-10-22,74,57,20,5.7,Clouds,Few Clouds,sunny  with temperatures reaching up to 82.9°f  (28.3°c)  wind speeds approaching speeds of 13.8 miles per hour  (22.2km/h) 25°c dry  clear sky,Circuit of the Americas,30.1328,-97.6411,Austin,USA
2017,2017-10-29,70,35,75,2.1,Clouds,Broken Clouds,"sunny , dry  21°c dry  sunny",Autódromo Hermanos Rodríguez,19.4042,-99.0907,Mexico City,Mexico
2017,2017-11-12,81,28,0,2.6,Clear,Clear Sky,None 27°c clear sky  sunny,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil
2017,2017-11-26,77,50,40,5.7,Clouds,Scattered Clouds,clear  24°c dry  sunny,Yas Marina Circuit,24.4672,54.6031,Abu Dhabi,UAE
